season,celebrity_name,ballroom_partner,celebrity_industry,celebrity_homestate,celebrity_homecountry/region,celebrity_age,placement,results,last_week,weeks_competed,total_score_sum,total_score_mean,total_score_std,avg_judge_score,avg_weekly_rank,season_contestants,wins,top3_finishes,pro_avg_placement,pro_avg_score,career_span,total_pageviews,avg_daily_pageviews,num_weeks,year,age_group,is_us,pro_experience_level
11,David Hasselhoff,Kym Johnson,Actor/Actress,Maryland,United States,58,12,Eliminated Week 1,1,1,15.0,15.0,,5.0,10.0,12,2,4,6.29,7.4,18,,,10,2010,55+,True,Veteran
11,Florence Henderson,Corky Ballas,Actor/Actress,Indiana,United States,76,8,Eliminated Week 5,5,5,95.5,19.1,1.431782106327635,6.366666666666666,6.8,12,0,0,7.5,6.1,5,,,10,2010,55+,True,Experienced
11,Jennifer Grey,Derek Hough,Actor/Actress,New York,United States,50,1,1st Place,10,10,279.0,27.9,3.9214509786273974,8.995833333333334,1.6,12,6,9,2.94,8.88,19,,,10,2010,45-55,True,Veteran
11,Kurt Warner,Anna Trebunskaya,Athlete,Iowa,United States,39,5,Eliminated Week 8,8,8,184.9999,23.1249875,5.3835095431558395,7.343745833333333,4.875,12,0,2,8.18,6.95,20,,,10,2010,35-45,True,Veteran
11,Kyle Massey,Lacey Schwimmer,Actor/Actress,Georgia,United States,19,2,2nd Place,10,10,255.8331,25.58331,4.6102580873646435,8.248603333333332,3.7,12,0,2,6.17,6.83,7,,,10,2010,<25,True,Experienced
11,Margaret Cho,Louis van Amstel,Comedian,California,United States,41,10,Eliminated Week 3,3,3,51.0,17.0,1.7320508075688772,5.666666666666667,9.666666666666666,12,0,1,7.0,7.11,31,,,10,2010,35-45,True,Veteran
11,Michael Bolton,Chelsie Hightower,Singer/Rapper,Connecticut,United States,57,11,Eliminated Week 2,2,2,28.0,14.0,2.8284271247461903,4.666666666666666,10.0,12,0,0,7.29,7.2,8,,,10,2010,55+,True,Experienced
11,Rick Fox,Cheryl Burke,Athlete,Non-US,Canada,41,6,Eliminated Week 7,7,7,175.0,25.0,5.361902647381804,7.922619047619047,3.7142857142857144,12,2,8,5.8,7.65,30,,,10,2010,35-45,False,Veteran
11,The Situation,Karina Smirnoff,TV Personality,New York,United States,28,9,Eliminated Week 4,4,4,67.0,16.75,2.753785273643051,5.583333333333334,8.75,12,1,4,6.72,7.3,20,,,10,2010,25-35,True,Veteran
12,Chelsea Kane,Mark Ballas,Actor/Actress,Arizona,United States,22,3,3rd Place,10,10,267.6666,26.76666,5.354813826040599,8.655553333333334,2.3,11,3,10,5.19,8.31,30,,,10,2011,<25,True,Veteran
12,Chris Jericho,Cheryl Burke,Athlete,New York,United States,40,7,Eliminated Week 6,6,6,134.0,22.333333333333332,2.3380903889000244,7.444444444444444,4.0,11,2,8,5.8,7.65,30,,,10,2011,35-45,True,Veteran
12,Hines Ward,Kym Johnson,Athlete,Non-US,South Korea,35,1,1st Place,10,10,267.6666,26.76666,3.5208313412854344,8.64722,1.7,11,2,4,6.29,7.4,18,,,10,2011,25-35,False,Veteran
12,Kendra Wilkinson,Louis van Amstel,TV Personality,California,United States,25,6,Eliminated Week 7,7,7,155.5,22.214285714285715,4.526377717126051,7.041666666666667,5.714285714285714,11,0,1,7.0,7.11,31,,,10,2011,<25,True,Veteran
12,Kirstie Alley,Maksim Chmerkoskiy,Actor/Actress,Kansas,United States,60,2,2nd Place,10,10,246.4999,24.64999,3.3002412371252827,7.966663333333334,4.2,11,1,5,6.0,7.91,24,,,10,2011,55+,True,Veteran
12,Mike Catherwood,Lacey Schwimmer,Radio Personality,California,United States,32,11,Eliminated Week 2,2,2,30.0,15.0,2.8284271247461903,5.0,10.0,11,0,2,6.17,6.83,7,,,10,2011,25-35,True,Experienced
12,Petra Nemcova,Dmitry Chaplin,Model,Non-US,Czechoslovakia,31,8,Eliminated Week 5,5,5,106.0,21.2,3.1144823004794877,7.066666666666667,5.0,11,0,1,7.0,7.43,5,,,10,2011,25-35,False,Experienced
12,Ralph Macchio,Karina Smirnoff,Actor/Actress,New York,United States,49,4,Eliminated Week 9,9,9,217.0,24.11111111111111,3.6209268304000712,7.731481481481481,3.7777777777777777,11,1,4,6.72,7.3,20,,,10,2011,45-55,True,Veteran
12,Romeo,Chelsie Hightower,Singer/Rapper,Louisiana,United States,21,5,Eliminated Week 8,8,8,195.0,24.375,3.8149143409218813,7.8125,3.75,11,0,0,7.29,7.2,8,,,10,2011,<25,True,Experienced
12,Sugar Ray Leonard,Anna Trebunskaya,Athlete,North Carolina,United States,54,9,Eliminated Week 4,4,4,75.0,18.75,2.0615528128088303,6.25,8.5,11,0,2,8.18,6.95,20,,,10,2011,45-55,True,Veteran
12,Wendy Williams,Tony Dovolani,TV Personality,New Jersey,United States,46,10,Eliminated Week 3,3,3,46.0,15.333333333333334,1.5275252316519468,5.111111111111112,9.666666666666666,11,1,3,7.67,7.13,21,,,10,2011,45-55,True,Veteran
13,Carson Kressley,Anna Trebunskaya,TV Personality,Pennsylvania,United States,41,8,Eliminated Week 5,5,5,97.0,19.4,2.302172886644268,6.466666666666667,8.2,12,0,2,8.18,6.95,20,,,10,2011,35-45,True,Veteran
13,Chaz Bono,Lacey Schwimmer,TV Personality,California,United States,42,7,Eliminated Week 6,6,6,113.0,18.833333333333332,1.834847859269718,6.277777777777778,8.0,12,0,2,6.17,6.83,7,,,10,2011,35-45,True,Experienced
13,Chynna Phillips,Tony Dovolani,Singer/Rapper,California,United States,43,9,Eliminated Week 4,4,4,90.0,22.5,2.3804761428476167,7.5,3.25,12,1,3,7.67,7.13,21,,,10,2011,35-45,True,Veteran
13,David Arquette,Kym Johnson,Actor/Actress,Virginia,United States,40,6,Eliminated Week 7,7,7,154.5,22.071428571428573,2.863979914800547,7.357142857142857,5.0,12,2,4,6.29,7.4,18,,,10,2011,35-45,True,Veteran
13,Elisabetta Canalis,Valentin Chmerkovskiy,Actor/Actress,Non-US,Italy,33,11,Eliminated Week 2,2,2,36.0,18.0,4.242640687119285,6.0,7.5,12,3,9,5.26,8.37,20,,,10,2011,25-35,False,Veteran
13,Hope Solo,Maksim Chmerkoskiy,Athlete,Washington,United States,30,4,Eliminated Week 9,9,9,207.4998,23.055533333333333,2.4295484271773637,7.685177777777778,4.111111111111111,12,1,5,6.0,7.91,24,,,10,2011,25-35,True,Veteran
13,J.R. Martinez,Karina Smirnoff,Actor/Actress,Louisiana,United States,28,1,1st Place,10,10,263.1665,26.31665,2.8419682151831167,8.772216666666667,1.9,12,1,4,6.72,7.3,20,,,10,2011,25-35,True,Veteran
13,Kristin Cavallari,Mark Ballas,TV Personality,Colorado,United States,24,10,Eliminated Week 3,3,3,65.0,21.666666666666668,2.5166114784235827,7.222222222222221,3.6666666666666665,12,3,10,5.19,8.31,30,,,10,2011,<25,True,Veteran
13,Metta World Peace (Ron),Peta Murgatroyd,Athlete,New York,United States,31,12,Eliminated Week 1,1,1,14.0,14.0,,4.666666666666667,12.0,12,2,2,7.4,7.12,20,,,10,2011,25-35,True,Veteran
13,Nancy Grace,Tristan MacManus,TV Personality,Georgia,United States,51,5,Eliminated Week 8,8,8,169.0,21.125,2.2951812875799473,7.041666666666666,6.0,12,0,0,9.6,6.44,5,,,10,2011,45-55,True,Experienced
13,Ricki Lake,Derek Hough,Actor/Actress,New York,United States,42,3,3rd Place,10,10,265.9998,26.59998,3.725264196686068,8.86666,1.9,12,6,9,2.94,8.88,19,,,10,2011,35-45,True,Veteran
13,Rob Kardashian,Cheryl Burke,TV Personality,California,United States,24,2,2nd Place,10,10,243.833,24.3833,4.372312296714405,8.127766666666666,3.6,12,2,8,5.8,7.65,30,,,10,2011,<25,True,Veteran
14,Donald Driver,Peta Murgatroyd,Athlete,Texas,United States,37,1,1st Place,10,10,271.1665,27.11665,3.411146489329748,9.038883333333334,3.6,12,2,2,7.4,7.12,20,,,10,2012,35-45,True,Veteran
14,Gavin DeGraw,Karina Smirnoff,Singer/Rapper,New York,United States,35,9,Eliminated Week 5,5,5,107.0,21.4,2.0736441353327715,7.133333333333333,7.8,12,1,4,6.72,7.3,20,,,10,2012,25-35,True,Veteran
14,Gladys Knight,Tristan MacManus,Singer/Rapper,Georgia,United States,67,8,Eliminated Week 6,6,6,132.0,22.0,2.097617696340303,7.333333333333333,7.833333333333333,12,0,0,9.6,6.44,5,,,10,2012,55+,True,Experienced
14,Jack Wagner,Anna Trebunskaya,Actor/Actress,Missouri,United States,52,11,Eliminated Week 3,3,3,68.0,22.666666666666668,1.5275252316519463,7.555555555555556,6.333333333333333,12,0,2,8.18,6.95,20,,,10,2012,45-55,True,Veteran
14,Jaleel White,Kym Johnson,Actor/Actress,California,United States,35,7,Eliminated Week 7,7,7,181.4998,25.928542857142855,5.135008230716268,8.642847619047618,4.714285714285714,12,2,4,6.29,7.4,18,,,10,2012,25-35,True,Veteran
14,Katherine Jenkins,Mark Ballas,Singer/Rapper,Non-US,Wales,31,2,2nd Place,10,10,285.4999,28.54999,4.071894317677379,9.516663333333332,1.9,12,3,10,5.19,8.31,30,,,10,2012,25-35,False,Veteran
14,Maria Menounos,Derek Hough,TV Personality,Massachusetts,United States,33,4,Eliminated Week 9,9,9,240.4999,26.72221111111111,2.6938564366185345,8.907403703703704,3.5555555555555554,12,6,9,2.94,8.88,19,,,10,2012,25-35,True,Veteran
14,Martina Navratilova,Tony Dovolani,Athlete,Non-US,Czechoslovakia,55,12,Eliminated Week 2,2,2,37.0,18.5,2.1213203435596424,6.166666666666667,11.0,12,1,3,7.67,7.13,21,,,10,2012,45-55,False,Veteran
14,Melissa Gilbert,Maksim Chmerkoskiy,Actor/Actress,California,United States,47,5,Eliminated Week 8,8,8,186.0,23.25,3.3594217189442426,7.75,7.375,12,1,5,6.0,7.91,24,,,10,2012,45-55,True,Veteran
14,Roshon Fegan,Chelsie Hightower,Actor/Actress,California,United States,20,6,Eliminated Week 8,8,8,207.9998,25.999975,1.6035318178053988,8.666658333333334,3.875,12,0,0,7.29,7.2,8,,,10,2012,<25,True,Experienced
14,Sherri Sheperd,Valentin Chmerkovskiy,Actor/Actress,Illinois,United States,44,10,Eliminated Week 4,4,4,91.0,22.75,1.2583057392117916,7.583333333333334,6.5,12,3,9,5.26,8.37,20,,,10,2012,35-45,True,Veteran
14,William Levy,Cheryl Burke,Actor/Actress,Non-US,Cuba,31,3,3rd Place,10,10,277.6666,27.76666,3.8258344043271566,9.255553333333333,2.6,12,2,8,5.8,7.65,30,,,10,2012,25-35,False,Veteran
15,Apolo Anton Ohno,Karina Smirnoff,Athlete,Washington,United States,30,5,Eliminated Week 9,9,9,255.6387,28.4043,3.974091277889827,9.148655555555555,3.6666666666666665,13,1,4,6.72,7.3,20,,,10,2012,25-35,True,Veteran
15,Bristol Palin,Mark Ballas,TV Personality,Alaska,United States,21,9,Eliminated Week 4,4,4,92.0,23.0,6.284902544988268,7.0,10.5,13,3,10,5.19,8.31,30,,,10,2012,<25,True,Veteran
15,Drew Lachey,Anna Trebunskaya,Singer/Rapper,Ohio,United States,36,11,Eliminated Week 3,3,3,68.0,22.666666666666668,1.2583057392117911,7.555555555555556,7.333333333333333,13,0,2,8.18,6.95,20,,,10,2012,35-45,True,Veteran
15,Emmitt Smith,Cheryl Burke,Athlete,Florida,United States,43,4,Eliminated Week 9,9,9,253.0553,28.117255555555555,4.499844849856245,9.039085185185185,5.333333333333333,13,2,8,5.8,7.65,30,,,10,2012,35-45,True,Veteran
15,Gilles Marini,Peta Murgatroyd,Actor/Actress,Non-US,France,36,6,Eliminated Week 8,8,8,233.0275,29.1284375,5.109596682416753,9.298020833333332,2.875,13,2,2,7.4,7.12,20,,,10,2012,35-45,False,Veteran
15,Helio Castroneves,Chelsie Hightower,Racing Driver,Non-US,Brazil,37,10,Eliminated Week 3,3,3,70.0,23.333333333333332,2.0207259421636907,7.777777777777779,5.333333333333333,13,0,0,7.29,7.2,8,,,10,2012,35-45,False,Experienced
15,Joey Fatone,Kym Johnson,Singer/Rapper,New York,United States,35,12,Eliminated Week 2,2,2,43.0,21.5,1.4142135623730951,7.166666666666666,8.5,13,2,4,6.29,7.4,18,,,10,2012,25-35,True,Veteran
15,Kelly Monaco,Valentin Chmerkovskiy,Actor/Actress,Pennsylvania,United States,36,3,3rd Place,10,10,281.3052,28.13052,5.180386665062325,9.06434,4.9,13,3,9,5.26,8.37,20,,,10,2012,35-45,True,Veteran
15,Kirstie Alley,Maksim Chmerkoskiy,Actor/Actress,Kansas,United States,61,7,Eliminated Week 8,8,8,201.2499,25.1562375,3.681354928337236,8.0729125,8.375,13,1,5,6.0,7.91,24,,,10,2012,55+,True,Veteran
15,Melissa Rycroft,Tony Dovolani,TV Personality,Texas,United States,29,1,1st Place,10,10,293.3607,29.33607,5.406697929019768,9.470356666666666,2.9,13,1,3,7.67,7.13,21,,,10,2012,25-35,True,Veteran
15,Pamela Anderson,Tristan MacManus,Model,Non-US,Canada,45,13,Eliminated Week 1,1,1,17.0,17.0,,5.666666666666667,13.0,13,0,0,9.6,6.44,5,,,10,2012,35-45,False,Experienced
15,Sabrina Bryan,Louis van Amstel,Actor/Actress,California,United States,28,8,Eliminated Week 6,6,6,168.75,28.125,4.521476528745892,8.881944444444445,2.6666666666666665,13,0,1,7.0,7.11,31,,,10,2012,25-35,True,Veteran
15,Shawn Johnson,Derek Hough,Athlete,Iowa,United States,20,2,2nd Place,10,10,293.5274,29.35274,5.420423685203133,9.45508,2.9,13,6,9,2.94,8.88,19,,,10,2012,<25,True,Veteran
16,Alexandra Raisman,Mark Ballas,Athlete,Massachusetts,United States,18,4,Eliminated Week 10,10,10,264.5,26.45,3.3203915431767985,8.816666666666666,2.3,12,3,10,5.19,8.31,30,,,10,2013,<25,True,Veteran
16,Andy Dick,Sharna Burgess,Comedian,South Carolina,United States,47,7,Eliminated Week 7,7,7,132.5,18.928571428571427,1.880349511584026,6.30952380952381,7.571428571428571,12,1,5,6.57,7.5,15,,,10,2013,45-55,True,Veteran
16,D. L. Hughley,Cheryl Burke,Comedian,Virginia,United States,50,9,Eliminated Week 5,5,5,83.0,16.6,3.2863353450309964,5.533333333333333,9.4,12,2,8,5.8,7.65,30,,,10,2013,45-55,True,Veteran
16,Dorothy Hamill,Tristan MacManus,Athlete,Illinois,United States,56,12,Withdrew,2,2,36.0,18.0,4.242640687119285,6.0,7.0,12,0,0,9.6,6.44,5,,,10,2013,55+,True,Experienced
16,Ingo Rademacher,Kym Johnson,Actor/Actress,Non-US,Germany,41,5,Eliminated Week 9,9,9,202.5,22.5,2.091650066335189,7.5,5.111111111111111,12,2,4,6.29,7.4,18,,,10,2013,35-45,False,Veteran
16,Jacoby Jones,Karina Smirnoff,Athlete,Louisiana,United States,28,3,3rd Place,10,10,251.9997,25.19997,2.830373356624332,8.399989999999999,3.6,12,1,4,6.72,7.3,20,,,10,2013,25-35,True,Veteran
16,Kellie Pickler,Derek Hough,Singer/Rapper,North Carolina,United States,26,1,1st Place,10,10,267.5,26.75,2.5522321385189257,8.916666666666666,2.1,12,6,9,2.94,8.88,19,,,10,2013,25-35,True,Veteran
16,Lisa Vanderpump,Gleb Savchenko,TV Personality,Non-US,England,52,10,Eliminated Week 4,4,4,75.0,18.75,1.5,6.25,7.75,12,0,0,8.46,7.32,19,,,10,2013,45-55,False,Veteran
16,Sean Lowe,Peta Murgatroyd,TV Personality,Texas,United States,29,6,Eliminated Week 8,8,8,172.0,21.5,1.9272482233188626,7.166666666666667,5.875,12,2,2,7.4,7.12,20,,,10,2013,25-35,True,Veteran
16,Victor Ortiz,Lindsay Arnold,Athlete,Kansas,United States,26,8,Eliminated Week 6,6,6,118.0,19.666666666666668,2.065591117977289,6.555555555555556,7.166666666666667,12,1,4,5.4,7.58,15,,,10,2013,25-35,True,Veteran
16,Wynonna Judd,Tony Dovolani,Singer/Rapper,Kentucky,United States,48,11,Eliminated Week 3,3,3,51.0,17.0,1.7320508075688772,5.666666666666667,9.0,12,1,3,7.67,7.13,21,,,10,2013,45-55,True,Veteran
16,Zendaya,Valentin Chmerkovskiy,Actor/Actress,California,United States,16,2,2nd Place,10,10,272.9998,27.299979999999998,2.097631469485949,9.099993333333334,1.7,12,3,9,5.26,8.37,20,,,10,2013,<25,True,Veteran
17,Amber Riley,Derek Hough,Actor/Actress,California,United States,27,1,1st Place,11,11,313.8331,28.53028181818182,4.502957199178819,9.210851515151516,2.727272727272727,12,6,9,2.94,8.88,19,,,11,2013,25-35,True,Veteran
17,Bill Engvall,Emma Slater,Comedian,Texas,United States,56,4,Eliminated Week 11,11,11,257.4998,23.409072727272726,3.1370137800433424,7.575751515151516,7.090909090909091,12,1,1,7.94,6.81,17,,,11,2013,55+,True,Veteran
17,Bill Nye,Tyne Stecklein,TV Personality,Washington D.C.,United States,57,11,Eliminated Week 3,3,3,47.0,15.666666666666666,1.5275252316519468,5.222222222222222,11.333333333333334,12,0,0,11.0,5.22,1,,,11,2013,55+,True,New
17,Brant Daugherty,Peta Murgatroyd,Actor/Actress,Ohio,United States,28,7,Eliminated Week 8,8,8,206.5,25.8125,3.463457191057183,8.604166666666666,4.5,12,2,2,7.4,7.12,20,,,11,2013,25-35,True,Veteran
17,Christina Milian,Mark Ballas,Singer/Rapper,New Jersey,United States,31,9,Eliminated Week 5,5,5,125.0,25.0,2.23606797749979,8.333333333333332,3.0,12,3,10,5.19,8.31,30,,,11,2013,25-35,True,Veteran
17,Corbin Bleu,Karina Smirnoff,Actor/Actress,New York,United States,24,2,2nd Place,11,11,313.6663,28.51511818181818,3.5122396674538545,9.220948484848485,1.8181818181818181,12,1,4,6.72,7.3,20,,,11,2013,<25,True,Veteran
17,Elizabeth Berkley Lauren,Valentin Chmerkovskiy,Actor/Actress,Michigan,United States,39,6,Eliminated Week 9,9,9,238.9998,26.555533333333333,2.4036442249218166,8.851844444444446,3.3333333333333335,12,3,9,5.26,8.37,20,,,11,2013,35-45,True,Veteran
17,Jack Osbourne,Cheryl Burke,TV Personality,Non-US,England,27,3,3rd Place,11,11,295.9997,26.909063636363637,3.7869359171427037,8.700748484848486,4.0,12,2,8,5.8,7.65,30,,,11,2013,25-35,False,Veteran
17,Keyshawn Johnson,Sharna Burgess,Athlete,California,United States,41,12,Eliminated Week 2,2,2,35.0,17.5,0.7071067811865476,5.833333333333334,11.0,12,1,5,6.57,7.5,15,,,11,2013,35-45,True,Veteran
17,Leah Remini,Tony Dovolani,Actor/Actress,New York,United States,43,5,Eliminated Week 10,10,10,256.9999,25.699990000000003,3.392795307854574,8.29583,5.3,12,1,3,7.67,7.13,21,,,11,2013,35-45,True,Veteran
17,"Nicole ""Snooki"" Polizzi",Sasha Farber,TV Personality,Non-US,Chile,25,8,Eliminated Week 7,7,7,176.0,25.142857142857142,3.2366943748507473,8.380952380952381,4.714285714285714,12,0,2,6.08,8.14,17,,,11,2013,<25,False,Veteran
17,Valerie Harper,Tristan MacManus,Actor/Actress,New York,United States,74,10,Eliminated Week 4,4,4,74.0,18.5,2.081665999466133,6.166666666666666,9.5,12,0,0,9.6,6.44,5,,,11,2013,55+,True,Experienced
18,Amy Purdy,Derek Hough,Athlete,Nevada,United States,34,2,2nd Place,10,10,339.1666,33.91666,5.971775280470997,9.126386666666667,2.4,12,6,9,2.94,8.88,19,,,10,2014,25-35,True,Veteran
18,Billy Dee Williams,Emma Slater,Actor/Actress,New York,United States,76,10,Withdrew,2,2,30.0,15.0,0.0,5.0,11.5,12,1,1,7.94,6.81,17,,,10,2014,55+,True,Veteran
18,Candace Cameron Bure,Mark Ballas,Actor/Actress,California,United States,37,3,3rd Place,10,10,307.9998,30.799979999999998,5.513638847198221,8.299993333333333,5.5,12,3,10,5.19,8.31,30,,,10,2014,35-45,True,Veteran
18,Charlie White,Sharna Burgess,Athlete,Michigan,United States,26,5,Eliminated Week 9,9,9,307.5,34.166666666666664,5.024937810560446,9.023148148148147,2.5555555555555554,12,1,5,6.57,7.5,15,,,10,2014,25-35,True,Veteran
18,Cody Simpson,Witney Carson,Singer/Rapper,Non-US,Australia,17,9,Eliminated Week 5,5,5,144.0,28.8,6.3796551630946325,7.933333333333333,6.8,12,1,5,5.5,7.91,16,,,10,2014,<25,False,Veteran
18,Danica McKellar,Valentin Chmerkovskiy,Actor/Actress,California,United States,39,6,Eliminated Week 8,8,8,265.0,33.125,5.986592162013855,8.78125,3.375,12,3,9,5.26,8.37,20,,,10,2014,35-45,True,Veteran
18,Diana Nyad,Henry Byalikov,Athlete,New York,United States,64,12,Eliminated Week 2,1,1,18.0,18.0,,6.0,11.0,12,0,0,12.0,6.0,1,,,10,2014,55+,True,New
18,Drew Carey,Cheryl Burke,Comedian,Ohio,United States,55,8,Eliminated Week 6,6,6,165.0,27.5,5.319774431308154,7.458333333333333,7.166666666666667,12,2,8,5.8,7.65,30,,,10,2014,45-55,True,Veteran
18,James Maslow,Peta Murgatroyd,Actor/Actress,New York,United States,23,4,Eliminated Week 10,10,10,330.0,33.0,6.036923425424945,8.875,3.4,12,2,2,7.4,7.12,20,,,10,2014,<25,True,Veteran
18,Meryl Davis,Maksim Chmerkoskiy,Athlete,Michigan,United States,27,1,1st Place,10,10,348.0,34.8,6.196773353931867,9.358333333333333,1.9,12,1,5,6.0,7.91,24,,,10,2014,25-35,True,Veteran
18,NeNe Leakes,Tony Dovolani,TV Personality,New York,United States,46,7,Eliminated Week 7,7,7,207.0,29.571428571428573,6.0513674172907095,7.892857142857143,6.571428571428571,12,1,3,7.67,7.13,21,,,10,2014,45-55,True,Veteran
18,Sean Avery,Karina Smirnoff,Athlete,Non-US,Canada,33,11,Eliminated Week 2,2,2,41.0,20.5,0.7071067811865476,6.833333333333334,8.5,12,1,4,6.72,7.3,20,,,10,2014,25-35,False,Veteran
19,Alfonso Ribeiro,Witney Carson,Actor/Actress,New York,United States,42,1,1st Place,11,11,404.0,36.72727272727273,3.2966925574250654,9.181818181818182,2.090909090909091,13,1,5,5.5,7.91,16,,,11,2014,35-45,True,Veteran
19,Antonio Sabato Jr.,Cheryl Burke,Actor/Actress,Non-US,Italy,42,8,Eliminated Week 7,7,7,199.5,28.5,1.848422751068236,7.125,7.142857142857143,13,2,8,5.8,7.65,30,,,11,2014,35-45,False,Veteran
19,Bethany Mota,Derek Hough,Social Media Personality,California,United States,18,4,Eliminated Week 11,11,11,396.5,36.04545454545455,3.0533141457647743,9.011363636363637,2.909090909090909,13,6,9,2.94,8.88,19,,,11,2014,<25,True,Veteran
19,Betsey Johnson,Tony Dovolani,Fashion Designer,Connecticut,United States,72,10,Eliminated Week 4,4,4,106.0,26.5,4.358898943540673,6.625,8.75,13,1,3,7.67,7.13,21,,,11,2014,55+,True,Veteran
19,Janel Parrish,Valentin Chmerkovskiy,Actor/Actress,Hawaii,United States,25,3,3rd Place,11,11,397.9998,36.1818,4.07596904306203,9.04545,2.909090909090909,13,3,9,5.26,8.37,20,,,11,2014,<25,True,Veteran
19,Jonathan Bennett,Allison Holker,Actor/Actress,Ohio,United States,33,9,Eliminated Week 6,6,6,172.0,28.666666666666668,3.7237973450050514,7.166666666666667,6.5,13,0,1,7.25,7.78,5,,,11,2014,25-35,True,Experienced
19,Lea Thompson,Artem Chigvintsev,Actor/Actress,Minnesota,United States,53,6,Eliminated Week 9,9,9,305.0,33.888888888888886,2.472066162365221,8.472222222222221,3.5555555555555554,13,1,1,7.42,7.56,14,,,11,2014,45-55,True,Veteran
19,Lolo Jones,Keo Motsepe,Athlete,Iowa,United States,32,13,Eliminated Week 1,1,1,22.0,22.0,,5.5,12.0,13,0,1,9.89,6.34,11,,,11,2014,25-35,True,Veteran
19,Michael Waltrip,Emma Slater,Racing Driver,Kentucky,United States,51,7,Eliminated Week 8,8,8,205.0,25.625,3.067688753070345,6.40625,9.0,13,1,1,7.94,6.81,17,,,11,2014,45-55,True,Veteran
19,Randy Couture,Karina Smirnoff,Athlete,Washington,United States,51,11,Eliminated Week 3,3,3,85.0,28.333333333333332,2.5166114784235827,7.083333333333333,8.0,13,1,4,6.72,7.3,20,,,11,2014,45-55,True,Veteran
19,Sadie Robertson,Mark Ballas,TV Personality,Louisiana,United States,17,2,2nd Place,11,11,386.83320000000003,35.16665454545455,2.84114609140876,8.791663636363637,3.3636363636363638,13,3,10,5.19,8.31,30,,,11,2014,<25,True,Veteran
19,Tavis Smiley,Sharna Burgess,Radio Personality,Mississippi,United States,50,12,Eliminated Week 2,2,2,57.0,28.5,0.7071067811865476,7.125,7.5,13,1,5,6.57,7.5,15,,,11,2014,45-55,True,Veteran
19,Tommy Chong,Peta Murgatroyd,Comedian,Non-US,Canada,76,5,Eliminated Week 10,10,10,286.5,28.65,2.828918128503859,7.1625,6.7,13,2,2,7.4,7.12,20,,,11,2014,55+,False,Veteran
20,Charlotte McKinney,Keo Motsepe,Model,Florida,United States,21,11,Eliminated Week 3,3,3,70.0,23.333333333333332,2.309401076758503,5.833333333333333,10.666666666666666,12,0,1,9.89,6.34,11,,,10,2015,<25,True,Veteran
20,Chris Soules,Witney Carson,TV Personality,Iowa,United States,33,5,Eliminated Week 8,8,8,227.0,28.375,4.274091382136926,7.09375,7.0,12,1,5,5.5,7.91,16,,,10,2015,25-35,True,Veteran
20,Michael Sam,Peta Murgatroyd,Athlete,Texas,United States,25,10,Eliminated Week 4,4,4,108.0,27.0,2.581988897471611,6.75,6.75,12,2,2,7.4,7.12,20,,,10,2015,<25,True,Veteran
20,Nastia Liukin,Derek Hough,Athlete,Non-US,Russia,25,4,Eliminated Week 9,9,9,327.5,36.388888888888886,3.389116567943793,9.097222222222221,1.7777777777777777,12,6,9,2.94,8.88,19,,,10,2015,<25,False,Veteran
20,Noah Galloway,Sharna Burgess,Motivational Speaker,Alabama,United States,33,3,3rd Place,10,10,320.5,32.05,4.387165625118594,8.0125,5.2,12,1,5,6.57,7.5,15,,,10,2015,25-35,True,Veteran
20,Patti LaBelle,Artem Chigvintsev,Singer/Rapper,Pennsylvania,United States,70,8,Eliminated Week 6,6,6,166.0,27.666666666666668,4.1311822359545785,6.916666666666667,7.333333333333333,12,1,1,7.42,7.56,14,,,10,2015,55+,True,Veteran
20,Redfoo,Emma Slater,Singer/Rapper,California,United States,39,12,Eliminated Week 2,2,2,53.0,26.5,6.363961030678928,6.625,8.0,12,1,1,7.94,6.81,17,,,10,2015,35-45,True,Veteran
20,Riker Lynch,Allison Holker,Actor/Actress,Colorado,United States,23,2,2nd Place,10,10,363.0,36.3,3.301514803843837,9.075,2.0,12,0,1,7.25,7.78,5,,,10,2015,<25,True,Experienced
20,Robert Herjavec,Kym Johnson,Entrepreneur,Non-US,Croatia,52,6,Eliminated Week 8,8,8,238.5,29.8125,3.272586351583626,7.453125,6.125,12,2,4,6.29,7.4,18,,,10,2015,45-55,False,Veteran
20,Rumer Willis,Valentin Chmerkovskiy,Actor/Actress,Kentucky,United States,26,1,1st Place,10,10,362.5,36.25,3.2080627591533553,9.0625,2.3,12,3,9,5.26,8.37,20,,,10,2015,25-35,True,Veteran
20,Suzanne Somers,Tony Dovolani,Actor/Actress,California,United States,68,9,Eliminated Week 5,5,5,134.0,26.8,1.6431676725154982,6.7,7.2,12,1,3,7.67,7.13,21,,,10,2015,55+,True,Veteran
20,Willow Shields,Mark Ballas,Actor/Actress,New Mexico,United States,14,7,Eliminated Week 7,7,7,237.5,33.92857142857143,4.919591543246346,8.482142857142858,3.2857142857142856,12,3,10,5.19,8.31,30,,,10,2015,<25,True,Veteran
21,Alek Skarlatos,Lindsay Arnold,Military,California,United States,22,3,3rd Place,11,11,293.9999,26.727263636363638,3.349351633457654,8.212118181818182,5.2727272727272725,13,1,4,5.4,7.58,15,376967.0,5309.4,11,2015,<25,True,Veteran
