celebrity_name,celebrity_industry,celebrity_age_during_season,placement,mean_alpha,mean_vote_share,is_controversial
Sasha Pieterse,Actor/Actress,21,10,0.03353801477312948,0.08806285558925826,False
Scott Hoying,Singer/Rapper,34,10,4.077014362775469e-09,0.07898880121465665,False
Sean Avery,Athlete,33,11,-0.0492748957171611,0.08163356000981895,False
Sean Lowe,TV Personality,29,6,0.005563355012461989,0.11745820861848884,False
Sean Spicer,Politician,48,6,-1.0590622587443363e-09,0.09000528773742295,False
Selma Blair,Actor/Actress,50,12,-2.2970803899363894e-09,0.0752595138379812,False
Shandi Finnessey,Beauty Pagent,28,10,0.06643300885320494,0.09712837525681133,False
Shangela,TV Personality,40,4,-2.2970803899363894e-09,0.11358220512838486,False
Shanna Moakler,Model,31,10,0.07511087317395149,0.1091261263235708,False
Shannen Doherty,Actor/Actress,38,11,0.14605371711375895,0.1045801679254111,False
Shannon Elizabeth,Actor/Actress,34,6,-0.05735412890618562,0.1168396417007127,False
Shawn Johnson,Athlete,17,1,-0.06689695212538872,0.14972896136800212,False
Sherri Sheperd,Actor/Actress,44,10,0.06942442116182143,0.09572963524300157,False
Simone Biles,Athlete,20,4,-0.055720402084847326,0.1384117617515649,False
Skai Jackson,Actor/Actress,18,5,7.742482334982232e-10,0.09861129140375208,False
Stacy Keibler,Athlete,26,3,-1.3042303533603053e-09,0.20048782316874253,False
Stephen Nedoroscik,Athlete,26,4,-8.840414850167145e-10,0.1326119485662972,False
Steve Guttenberg,Actor/Actress,49,10,0.08131279103961919,0.0883547267733749,False
Steve Wozniak,Entrepreneur,58,10,-0.026391547906131976,0.0577353712730673,False
Steve-O,TV Personality,34,8,0.08481540288783801,0.08661463941054798,False
Sugar Ray Leonard,Athlete,54,9,0.040050546807115325,0.09742247740868858,False
Suni Lee,Athlete,18,5,2.900331727242026e-09,0.0997662242307383,False
Susan Lucci,Actor/Actress,61,6,-0.02727623045111629,0.12197212274969946,False
Suzanne Somers,Actor/Actress,68,9,0.07189678535034284,0.09590646605797185,False
Tamar Braxton,Singer/Rapper,38,5,-0.09181065642081623,0.10933581606065725,False
Tatum O'Neal,Actor/Actress,42,9,-2.8713504874204876e-09,0.10191136200616699,False
Tavis Smiley,Radio Personality,50,12,0.11588263858990863,0.0904077790622207,False
Ted McGinley,Actor/Actress,50,12,-0.0888707194212045,0.0780316999004236,False
Teresa Giudice,TV Personality,50,15,-2.8713504874204864e-09,0.05427093373421285,False
Terra Jole,TV Personality,36,5,-0.03927930250947962,0.11709631971940153,False
Terrell Owens,Athlete,43,6,-0.00755119289623361,0.10293695356505599,False
The Situation,TV Personality,28,9,0.12183649903289828,0.10163424096585202,False
Tia Carrere,Actor/Actress,39,6,-1.5124984678923906e-09,0.13015127336402965,False
Tinashe,Singer/Rapper,25,10,-0.07800118635416226,0.09472880881123162,False
Tom DeLay,Politician,62,13,-0.027485022383803234,0.05869101697217563,False
Tommy Chong,Comedian,76,5,0.004202874278110507,0.11311280577046445,False
Toni Braxton,Singer/Rapper,40,8,-0.04275440936527029,0.1074635468144258,False
Tonya Harding,Athlete,47,3,-0.021486660244164648,0.1808008593890309,False
Tori Spelling,Actor/Actress,51,12,-4.5089501945788553e-10,0.07091265728799195,False
Trevor Donovan,Actor/Actress,39,6,-2.552311544373766e-09,0.09243540595671644,False
Trista Sutter,TV Personality,32,6,-1.4356752437102438e-09,0.15893462458374602,False
Tucker Carlson,TV Personality,37,11,0.8349707393218033,0.1365483079874886,False
Ty Murray,Athlete,39,4,-0.015053721642510367,0.12884043361028433,False
Tyson Beckford,Model,52,12,-9.571168291401613e-10,0.06366039303953284,False
Valerie Harper,Actor/Actress,74,10,0.13750312448109467,0.08934082295498358,False
Vanessa Lachey,TV Personality,36,7,-0.04355905626033957,0.09690475161854699,False
Vanilla Ice,Singer/Rapper,48,10,-0.020386264335982476,0.0778295230667648,False
Veron Davis,Athlete,36,11,-4.785584145700808e-10,0.07207001690807155,False
Victor Espinoza,Athlete,43,12,-0.02142993087942965,0.06557513570015544,False
Victor Ortiz,Athlete,26,8,0.0167426975008715,0.09843766533954594,False
Victoria Arlen,Athlete,22,5,-0.024759258431254934,0.11609354981143784,False
Vinny Guadagnino,TV Personality,34,7,-2.5124316764929257e-09,0.07316443876381296,False
Vivica A. Fox,Actor/Actress,42,8,-0.06196401281077063,0.11436526378878208,False
Von Miller,Athlete,27,7,-0.02318420389798807,0.09941387450837746,False
Wanya Morris,Singer/Rapper,42,4,-0.10435470290660083,0.11663998647084647,False
Warren Sapp,Athlete,35,2,-0.09738191697431406,0.1568545341936236,False
Wayne Brady,Comedian,50,3,-2.297080389936389e-09,0.11835212157064219,False
Wayne Newton,Singer/Rapper,65,10,0.17163600456154557,0.09206062538507347,False
Wendy Williams,TV Personality,46,10,0.20985900649388867,0.09416840418801446,False
Whitney Leavitt,TV Personality,32,6,-3.6844030377359336e-09,0.11683840721265067,False
Willa Ford,Singer/Rapper,25,7,-0.08278417238732622,0.11575633918030004,False
William Levy,Actor/Actress,31,3,-0.08629688693333297,0.14692611414540102,False
Willow Shields,Actor/Actress,14,7,-0.056646098231508075,0.10947793022902388,False
Wynonna Judd,Singer/Rapper,48,11,0.22172643556393667,0.09465661620961481,False
Xochitl Gomez,Actor/Actress,17,1,-1.4173076525095082e-09,0.1393030159004355,False
Zendaya,Actor/Actress,16,2,-0.20429536038746526,0.1309697083082206,False
