season,week,n_contestants,actual_method,actual_eliminated,rank_eliminated,pct_eliminated,methods_agree,rank_bottom_two,pct_bottom_two,rank_elim_judge_rank,rank_elim_vote_rank,pct_elim_judge_rank,pct_elim_vote_rank
20,3,11,percentage,Charlotte McKinney,Charlotte McKinney,Charlotte McKinney,True,"['Charlotte McKinney', 'Michael Sam']","['Charlotte McKinney', 'Patti LaBelle']",10,11,10,11
20,4,10,percentage,Michael Sam,Michael Sam,Michael Sam,True,"['Michael Sam', 'Chris Soules']","['Michael Sam', 'Suzanne Somers']",7,10,7,10
20,5,9,percentage,Suzanne Somers,Suzanne Somers,Suzanne Somers,True,"['Suzanne Somers', 'Robert Herjavec']","['Suzanne Somers', 'Robert Herjavec']",5,9,5,9
20,6,8,percentage,Patti LaBelle,Patti LaBelle,Patti LaBelle,True,"['Patti LaBelle', 'Robert Herjavec']","['Patti LaBelle', 'Robert Herjavec']",6,8,6,8
20,7,7,percentage,Willow Shields,Willow Shields,Willow Shields,True,"['Willow Shields', 'Robert Herjavec']","['Willow Shields', 'Robert Herjavec']",2,7,2,7
20,8,6,percentage,"['Robert Herjavec', 'Chris Soules']",Chris Soules,Robert Herjavec,False,"['Chris Soules', 'Noah Galloway']","['Robert Herjavec', 'Noah Galloway']",4,6,6,1
20,9,4,percentage,Nastia Liukin,Rumer Willis,Nastia Liukin,False,"['Noah Galloway', 'Nastia Liukin']","['Nastia Liukin', 'Noah Galloway']",3,2,1,4
21,2,13,percentage,"['Victor Espinoza', 'Chaka Khan']",Victor Espinoza,Chaka Khan,False,"['Victor Espinoza', 'Chaka Khan']","['Chaka Khan', 'Gary Busey']",9,13,13,1
21,4,10,percentage,Gary Busey,Gary Busey,Gary Busey,True,"['Gary Busey', 'Paula Deen']","['Gary Busey', 'Paula Deen']",10,1,10,1
21,6,9,percentage,Paula Deen,Paula Deen,Paula Deen,True,"['Paula Deen', 'Alexa PenaVega']","['Paula Deen', 'Alexa PenaVega']",9,1,9,1
21,7,8,percentage,Hayes Grier,Hayes Grier,Hayes Grier,True,"['Hayes Grier', 'Alek Skarlatos']","['Hayes Grier', 'Alek Skarlatos']",2,8,2,8
21,8,7,percentage,Andy Grammer,Andy Grammer,Andy Grammer,True,"['Andy Grammer', 'Alek Skarlatos']","['Andy Grammer', 'Alek Skarlatos']",7,1,7,1
21,9,6,percentage,Alexa PenaVega,Alexa PenaVega,Alexa PenaVega,True,"['Alek Skarlatos', 'Tamar Braxton']","['Alexa PenaVega', 'Alek Skarlatos']",1,6,1,6
21,11,4,percentage,Carlos PenaVega,Carlos PenaVega,Carlos PenaVega,True,"['Carlos PenaVega', 'Alek Skarlatos']","['Carlos PenaVega', 'Alek Skarlatos']",1,4,1,4
22,2,12,percentage,Geraldo Rivera,Geraldo Rivera,Geraldo Rivera,True,"['Geraldo Rivera', 'Mischa Barton']","['Geraldo Rivera', 'Mischa Barton']",12,1,12,1
22,3,11,percentage,Mischa Barton,Mischa Barton,Mischa Barton,True,"['Mischa Barton', 'Von Miller']","['Mischa Barton', 'Doug Flutie']",11,1,11,1
22,4,10,percentage,Marla Maples,Marla Maples,Marla Maples,True,"['Marla Maples', 'Jodie Sweetin']","['Marla Maples', 'Doug Flutie']",8,10,8,10
22,6,9,percentage,Doug Flutie,Doug Flutie,Doug Flutie,True,"['Doug Flutie', 'Von Miller']","['Doug Flutie', 'Kim Fields']",9,1,9,1
22,7,8,percentage,"['Kim Fields', 'Von Miller']",Kim Fields,Kim Fields,True,"['Kim Fields', 'Von Miller']","['Kim Fields', 'Von Miller']",5,7,5,7
22,8,6,percentage,Jodie Sweetin,Jodie Sweetin,Jodie Sweetin,True,"['Wanya Morris', 'Paige VanZant']","['Jodie Sweetin', 'Wanya Morris']",1,6,1,6
22,9,5,percentage,"['Antonio Brown', 'Wanya Morris']",Antonio Brown,Antonio Brown,True,"['Wanya Morris', 'Ginger Zee']","['Antonio Brown', 'Ginger Zee']",5,1,5,1
23,2,13,percentage,Jake T. Austin,Jake T. Austin,Jake T. Austin,True,"['Jake T. Austin', 'Rick Perry']","['Jake T. Austin', 'Rick Perry']",10,13,10,13
23,3,12,percentage,Rick Perry,Rick Perry,Rick Perry,True,"['Rick Perry', 'Vanilla Ice']","['Rick Perry', 'Vanilla Ice']",11,12,11,12
23,4,11,percentage,"['Babyface', 'Vanilla Ice']",Vanilla Ice,Babyface,False,"['Vanilla Ice', 'Marilu Henner']","['Babyface', 'Marilu Henner']",6,11,11,1
23,6,9,percentage,Amber Rose,Amber Rose,Amber Rose,True,"['Amber Rose', 'Terra Jole']","['Amber Rose', 'Ryan Lochte']",9,1,9,1
23,7,8,percentage,Maureen McCormick,Maureen McCormick,Maureen McCormick,True,"['Maureen McCormick', 'Marilu Henner']","['Maureen McCormick', 'Marilu Henner']",6,8,6,8
23,8,7,percentage,Ryan Lochte,Ryan Lochte,Ryan Lochte,True,"['Ryan Lochte', 'Marilu Henner']","['Ryan Lochte', 'Marilu Henner']",5,7,5,7
23,9,6,percentage,Marilu Henner,Marilu Henner,Marilu Henner,True,"['Marilu Henner', 'James Hinchcliffe']","['Marilu Henner', 'James Hinchcliffe']",5,6,5,6
23,10,5,percentage,Terra Jole,Calvin Johnson Jr.,Terra Jole,False,"['Terra Jole', 'Jana Kramer']","['Terra Jole', 'Calvin Johnson Jr.']",5,1,1,5
23,11,4,percentage,Jana Kramer,Jana Kramer,Jana Kramer,True,"['Jana Kramer', 'Calvin Johnson Jr.']","['Jana Kramer', 'Calvin Johnson Jr.']",4,1,4,1
24,2,12,percentage,Chris Kattan,Chris Kattan,Chris Kattan,True,"['Chris Kattan', 'Mr. T']","['Chris Kattan', 'Mr. T']",11,12,11,12
24,3,11,percentage,Charo,Charo,Charo,True,"['Charo', 'Erika Jayne']","['Charo', 'Mr. T']",9,11,9,11
24,4,10,percentage,Mr. T,Mr. T,Mr. T,True,"['Mr. T', 'Nick Viall']","['Mr. T', 'Erika Jayne']",10,1,10,1
24,5,9,percentage,Erika Jayne,Erika Jayne,Erika Jayne,True,"['Erika Jayne', 'Bonner Bolton']","['Erika Jayne', 'David Ross']",6,9,6,9
24,6,8,percentage,Heather Morris,Heather Morris,Heather Morris,True,"['Nick Viall', 'David Ross']","['Heather Morris', 'Bonner Bolton']",1,8,1,8
24,7,7,percentage,"['Nancy Kerrigan', 'Nick Viall']",Nancy Kerrigan,Bonner Bolton,False,"['Nick Viall', 'Nancy Kerrigan']","['Bonner Bolton', 'David Ross']",4,7,7,1
24,8,5,percentage,Bonner Bolton,Bonner Bolton,Bonner Bolton,True,"['Bonner Bolton', 'David Ross']","['Bonner Bolton', 'David Ross']",5,1,5,1
24,9,4,percentage,Simone Biles,Simone Biles,Simone Biles,True,"['Normani', 'David Ross']","['Simone Biles', 'David Ross']",1,4,1,4
25,2,13,percentage,"['Barbara Corcoran', 'Debbie Gibson']",Debbie Gibson,Barbara Corcoran,False,"['Debbie Gibson', 'Barbara Corcoran']","['Barbara Corcoran', 'Derek Fisher']",7,13,13,1
25,4,11,percentage,Derek Fisher,Derek Fisher,Derek Fisher,True,"['Derek Fisher', 'Nick Lachey']","['Derek Fisher', 'Nick Lachey']",10,11,10,11
25,5,10,percentage,Sasha Pieterse,Sasha Pieterse,Sasha Pieterse,True,"['Sasha Pieterse', 'Nick Lachey']","['Sasha Pieterse', 'Nick Lachey']",8,10,8,10
25,6,9,percentage,Nick Lachey,Nick Lachey,Nick Lachey,True,"['Nick Lachey', 'Drew Scott']","['Nick Lachey', 'Drew Scott']",9,1,9,1
25,7,8,percentage,"['Nikki Bella', 'Vanessa Lachey']",Vanessa Lachey,Nikki Bella,False,"['Vanessa Lachey', 'Lindsey Stirling']","['Nikki Bella', 'Terrell Owens']",4,8,8,1
25,8,6,percentage,Terrell Owens,Terrell Owens,Terrell Owens,True,"['Terrell Owens', 'Drew Scott']","['Terrell Owens', 'Victoria Arlen']",4,6,4,6
25,9,5,percentage,Victoria Arlen,Victoria Arlen,Victoria Arlen,True,"['Victoria Arlen', 'Drew Scott']","['Victoria Arlen', 'Frankie Muniz']",3,5,3,5
25,10,4,percentage,Drew Scott,Drew Scott,Drew Scott,True,"['Drew Scott', 'Frankie Muniz']","['Drew Scott', 'Frankie Muniz']",4,1,4,1
26,1,10,percentage,"['Jamie Anderson', 'Johnny Damon']",Jamie Anderson,Johnny Damon,False,"['Jamie Anderson', 'Johnny Damon']","['Johnny Damon', 'Kareem Abdul-Jabbar']",8,10,9,9
26,2,8,percentage,"['Kareem Abdul-Jabbar', 'Arike Ogunbowale']",Arike Ogunbowale,Kareem Abdul-Jabbar,False,"['Arike Ogunbowale', 'Kareem Abdul-Jabbar']","['Kareem Abdul-Jabbar', 'Jennie Finch Daigle']",3,8,8,1
26,3,6,percentage,"['Jennie Finch Daigle', 'Chris Mazdzer', 'Mirai Nagasu']",Chris Mazdzer,Jennie Finch Daigle,False,"['Chris Mazdzer', 'Mirai Nagasu']","['Jennie Finch Daigle', 'Chris Mazdzer']",5,5,6,1
27,1,13,percentage,Nikki Glaser,Nikki Glaser,Nikki Glaser,True,"['Nikki Glaser', 'Joe Amabile']","['Nikki Glaser', 'Joe Amabile']",12,13,12,13
27,2,12,percentage,Danelle Umstead,Danelle Umstead,Danelle Umstead,True,"['Danelle Umstead', 'Joe Amabile']","['Danelle Umstead', 'Joe Amabile']",11,12,11,12
27,3,11,percentage,Nancy McKeon,Nancy McKeon,Nancy McKeon,True,"['Nancy McKeon', 'John Schneider']","['Nancy McKeon', 'Joe Amabile']",9,11,9,11
27,4,10,percentage,Tinashe,Tinashe,Tinashe,True,"['Tinashe', 'Joe Amabile']","['Tinashe', 'Joe Amabile']",2,10,2,10
27,6,9,percentage,Mary Lou Retton,Mary Lou Retton,Mary Lou Retton,True,"['Mary Lou Retton', 'John Schneider']","['Mary Lou Retton', 'John Schneider']",6,9,6,9
27,7,8,percentage,"['John Schneider', 'DeMarcus Ware']",John Schneider,Joe Amabile,False,"['DeMarcus Ware', 'John Schneider']","['Joe Amabile', 'DeMarcus Ware']",5,8,8,1
27,8,6,percentage,"['Juan Pablo Di Pace', 'Joe Amabile']",Juan Pablo Di Pace,Joe Amabile,False,"['Joe Amabile', 'Bobby Bones']","['Joe Amabile', 'Bobby Bones']",1,6,5,2
28,2,12,rank,Mary Wilson,Lamar Odom,Lamar Odom,True,"['Lamar Odom', 'Ray Lewis']","['Lamar Odom', 'Ray Lewis']",12,12,12,12
28,4,10,rank,Lamar Odom,Sean Spicer,Sean Spicer,True,"['Sean Spicer', 'Kate Flannery']","['Sean Spicer', 'Kate Flannery']",9,10,9,10
28,6,9,rank,Sailor Brinkley-Cook,Sean Spicer,Sean Spicer,True,"['Sean Spicer', 'Hannah Brown']","['Sean Spicer', 'Sailor Brinkley-Cook']",9,8,9,8
28,7,8,rank,Karamo Brown,Sean Spicer,Sean Spicer,True,"['Sean Spicer', 'Kate Flannery']","['Sean Spicer', 'Kate Flannery']",8,8,8,8
28,8,7,rank,Kate Flannery,Sean Spicer,Sean Spicer,True,"['Sean Spicer', 'Lauren Alaina']","['Sean Spicer', 'Lauren Alaina']",7,7,7,7
28,9,6,rank,Sean Spicer,Lauren Alaina,Lauren Alaina,True,"['Lauren Alaina', 'Hannah Brown']","['Lauren Alaina', 'Hannah Brown']",5,6,5,6
28,10,5,rank,James Van Der Beek,Hannah Brown,Hannah Brown,True,"['Hannah Brown', 'Lauren Alaina']","['Hannah Brown', 'Lauren Alaina']",3,5,3,5
29,2,15,rank,Charles Oakley,Skai Jackson,Skai Jackson,True,"['Skai Jackson', 'Monica Aldama']","['Skai Jackson', 'Monica Aldama']",14,15,14,15
29,3,14,rank,Carole Baskin,Anne Heche,Anne Heche,True,"['Anne Heche', 'Nelly']","['Anne Heche', 'Nelly']",13,14,13,14
29,4,13,rank,Anne Heche,Jeannie Mai,Jeannie Mai,True,"['Jeannie Mai', 'Nelly']","['Jeannie Mai', 'Nelly']",10,13,10,13
29,5,12,rank,Jesse Metcalfe,Chrishell Stause,Chrishell Stause,True,"['Chrishell Stause', 'Veron Davis']","['Chrishell Stause', 'Veron Davis']",11,12,11,12
29,6,11,rank,Veron Davis,Skai Jackson,Skai Jackson,True,"['Skai Jackson', 'Johnny Weir']","['Skai Jackson', 'Johnny Weir']",11,11,11,11
29,7,10,rank,Monica Aldama,Kaitlyn Bristowe,Kaitlyn Bristowe,True,"['Kaitlyn Bristowe', 'Jeannie Mai']","['Kaitlyn Bristowe', 'Jeannie Mai']",9,10,9,10
29,8,8,rank,Chrishell Stause,Nelly,Nelly,True,"['Nelly', 'Skai Jackson']","['Nelly', 'Skai Jackson']",8,8,8,8
29,9,7,rank,AJ McLean,Nelly,Nelly,True,"['Nelly', 'Justina Machado']","['Nelly', 'Justina Machado']",7,7,7,7
29,10,6,rank,"['Skai Jackson', 'Johnny Weir']",Nelly,Nelly,True,"['Nelly', 'Johnny Weir']","['Nelly', 'Skai Jackson']",6,6,6,6
30,2,15,rank,Martin Kove,Matt James,Matt James,True,"['Matt James', 'Brian Austin Green']","['Matt James', 'Brian Austin Green']",14,15,14,15
30,3,14,rank,Christine Chiu,Cody Rigsby,Cody Rigsby,True,"['Cody Rigsby', 'Iman Shumpert']","['Cody Rigsby', 'Iman Shumpert']",14,14,14,14
30,4,13,rank,"['Brian Austin Green', 'Matt James']",Cody Rigsby,Cody Rigsby,True,"['Cody Rigsby', 'Kenya Moore']","['Cody Rigsby', 'Kenya Moore']",11,13,11,13
30,5,11,rank,Melanie C,Iman Shumpert,Iman Shumpert,True,"['Iman Shumpert', 'Cody Rigsby']","['Iman Shumpert', 'Melanie C']",11,11,11,11
30,6,10,rank,Kenya Moore,"Mike ""The Miz"" Mizanin","Mike ""The Miz"" Mizanin",True,"['Mike ""The Miz"" Mizanin', 'Melora Hardin']","['Mike ""The Miz"" Mizanin', 'Melora Hardin']",8,10,8,10
30,7,9,rank,"Mike ""The Miz"" Mizanin",Amanda Kloots,Amanda Kloots,True,"['Amanda Kloots', 'Iman Shumpert']","['Amanda Kloots', 'Iman Shumpert']",6,9,6,9
30,8,8,rank,"['Jimmie Allen', 'Olivia Jade']",Iman Shumpert,Iman Shumpert,True,"['Iman Shumpert', 'Jimmie Allen']","['Iman Shumpert', 'Cody Rigsby']",7,8,7,8
30,9,6,rank,"['Melora Hardin', 'Suni Lee']",Cody Rigsby,Cody Rigsby,True,"['Cody Rigsby', 'Suni Lee']","['Cody Rigsby', 'Suni Lee']",6,6,6,6
31,1,16,rank,Jason Lewis,Vinny Guadagnino,Vinny Guadagnino,True,"['Vinny Guadagnino', 'Teresa Giudice']","['Vinny Guadagnino', 'Teresa Giudice']",16,16,16,16
31,2,15,rank,Teresa Giudice,Cheryl Ladd,Cheryl Ladd,True,"['Cheryl Ladd', 'Joseph Baena']","['Cheryl Ladd', 'Joseph Baena']",15,15,15,15
31,3,14,rank,Cheryl Ladd,Vinny Guadagnino,Vinny Guadagnino,True,"['Vinny Guadagnino', 'Sam Champion']","['Vinny Guadagnino', 'Sam Champion']",14,14,14,14
31,4,13,rank,Sam Champion,Trevor Donovan,Trevor Donovan,True,"['Trevor Donovan', 'Joseph Baena']","['Trevor Donovan', 'Joseph Baena']",11,13,11,13
31,5,12,rank,Joseph Baena,Vinny Guadagnino,Vinny Guadagnino,True,"['Vinny Guadagnino', 'Daniel Durant']","['Vinny Guadagnino', 'Daniel Durant']",12,12,12,12
31,6,10,rank,Jessie James Decker,Vinny Guadagnino,Vinny Guadagnino,True,"['Vinny Guadagnino', 'Jordin Sparks']","['Vinny Guadagnino', 'Jordin Sparks']",10,10,10,10
31,7,9,rank,Jordin Sparks,Vinny Guadagnino,Vinny Guadagnino,True,"['Vinny Guadagnino', ""Heidi D'Amelio""]","['Vinny Guadagnino', ""Heidi D'Amelio""]",9,9,9,9
31,8,8,rank,"[""Heidi D'Amelio"", 'Vinny Guadagnino']",Daniel Durant,Daniel Durant,True,"['Daniel Durant', ""Heidi D'Amelio""]","['Daniel Durant', 'Trevor Donovan']",5,8,5,8
31,9,6,rank,"['Trevor Donovan', 'Daniel Durant']",Daniel Durant,Shangela,False,"['Daniel Durant', 'Shangela']","['Shangela', 'Daniel Durant']",5,5,3,6
32,1,14,rank,Matt Walsh,Harry Jowsey,Harry Jowsey,True,"['Harry Jowsey', 'Tyson Beckford']","['Harry Jowsey', 'Tyson Beckford']",12,14,12,14
32,2,13,rank,Jamie Lynn Spears,Mauricio Umansky,Mauricio Umansky,True,"['Mauricio Umansky', 'Harry Jowsey']","['Mauricio Umansky', 'Harry Jowsey']",13,13,13,13
32,3,12,rank,Tyson Beckford,Adrian Peterson,Adrian Peterson,True,"['Adrian Peterson', 'Mauricio Umansky']","['Adrian Peterson', 'Mauricio Umansky']",11,12,11,12
32,4,11,rank,Adrian Peterson,Alyson Hannigan,Alyson Hannigan,True,"['Alyson Hannigan', 'Barry Williams']","['Alyson Hannigan', 'Barry Williams']",10,11,10,11
32,5,10,rank,Mira Sorvino,Harry Jowsey,Harry Jowsey,True,"['Harry Jowsey', 'Alyson Hannigan']","['Harry Jowsey', 'Alyson Hannigan']",10,10,10,10
32,6,9,rank,Mauricio Umansky,Harry Jowsey,Harry Jowsey,True,"['Harry Jowsey', 'Alyson Hannigan']","['Harry Jowsey', 'Alyson Hannigan']",9,9,9,9
32,7,8,rank,Lele Pons,Harry Jowsey,Harry Jowsey,True,"['Harry Jowsey', 'Barry Williams']","['Harry Jowsey', 'Lele Pons']",8,8,8,8
32,8,7,rank,Barry Williams,Harry Jowsey,Harry Jowsey,True,"['Harry Jowsey', 'Jason Mraz']","['Harry Jowsey', 'Jason Mraz']",7,7,7,7
32,9,6,rank,Harry Jowsey,Alyson Hannigan,Alyson Hannigan,True,"['Alyson Hannigan', 'Ariana Madix']","['Alyson Hannigan', 'Ariana Madix']",5,6,5,6
33,2,13,rank,"['Tori Spelling', 'Anna Delvey']",Reginald VelJohnson,Reginald VelJohnson,True,"['Reginald VelJohnson', 'Eric Roberts']","['Reginald VelJohnson', 'Eric Roberts']",12,13,12,13
33,3,11,rank,"['Eric Roberts', 'Reginald VelJohnson']",Dwight Howard ,Dwight Howard ,True,"['Dwight Howard\xa0', 'Eric Roberts']","['Dwight Howard\xa0', 'Phaedra Parks']",9,11,9,11
33,4,9,rank,Brooks Nader,Dwight Howard ,Dwight Howard ,True,"['Dwight Howard\xa0', 'Jenn Tran']","['Dwight Howard\xa0', 'Jenn Tran']",9,9,9,9
33,5,8,rank,Phaedra Parks,Stephen Nedoroscik,Stephen Nedoroscik,True,"['Stephen Nedoroscik', 'Dwight Howard\xa0']","['Stephen Nedoroscik', 'Dwight Howard\xa0']",6,8,6,8
33,6,7,rank,Jenn Tran,Ilona Maher,Ilona Maher,True,"['Ilona Maher', 'Stephen Nedoroscik']","['Ilona Maher', 'Jenn Tran']",7,7,7,7
33,7,6,rank,Dwight Howard ,Danny Amendola,Danny Amendola,True,"['Danny Amendola', 'Ilona Maher']","['Danny Amendola', 'Ilona Maher']",5,6,5,6
34,2,14,rank,"['Corey Feldman', 'Baron Davis']",Andy Richter,Andy Richter,True,"['Andy Richter', 'Scott Hoying']","['Andy Richter', 'Scott Hoying']",13,14,13,14
34,3,12,rank,Lauren Jauregui,Andy Richter,Andy Richter,True,"['Andy Richter', 'Jen Affleck']","['Andy Richter', 'Jen Affleck']",11,12,11,12
34,4,11,rank,Hilaria Baldwin,Andy Richter,Andy Richter,True,"['Andy Richter', 'Scott Hoying']","['Andy Richter', 'Scott Hoying']",11,11,11,11
34,6,10,rank,Scott Hoying,Andy Richter,Andy Richter,True,"['Andy Richter', 'Dylan Efron']","['Andy Richter', 'Dylan Efron']",10,10,10,10
34,7,9,rank,Jen Affleck,Andy Richter,Andy Richter,True,"['Andy Richter', 'Elaine Hendrix']","['Andy Richter', 'Elaine Hendrix']",9,9,9,9
34,8,8,rank,Danielle Fishel,Andy Richter,Andy Richter,True,"['Andy Richter', 'Elaine Hendrix']","['Andy Richter', 'Elaine Hendrix']",8,8,8,8
34,9,7,rank,Andy Richter,Elaine Hendrix,Elaine Hendrix,True,"['Elaine Hendrix', 'Jordan Chiles']","['Elaine Hendrix', 'Jordan Chiles']",6,7,6,7
34,10,6,rank,Whitney Leavitt,Dylan Efron,Whitney Leavitt,False,"['Dylan Efron', 'Whitney Leavitt']","['Whitney Leavitt', 'Dylan Efron']",6,5,2,6
