celebrity_name,ballroom_partner,celebrity_industry,celebrity_homestate,celebrity_homecountry/region,celebrity_age_during_season,season,results,placement,week1_judge1_score,week1_judge2_score,week1_judge3_score,week1_judge4_score,week2_judge1_score,week2_judge2_score,week2_judge3_score,week2_judge4_score,week3_judge1_score,week3_judge2_score,week3_judge3_score,week3_judge4_score,week4_judge1_score,week4_judge2_score,week4_judge3_score,week4_judge4_score,week5_judge1_score,week5_judge2_score,week5_judge3_score,week5_judge4_score,week6_judge1_score,week6_judge2_score,week6_judge3_score,week6_judge4_score,week7_judge1_score,week7_judge2_score,week7_judge3_score,week7_judge4_score,week8_judge1_score,week8_judge2_score,week8_judge3_score,week8_judge4_score,week9_judge1_score,week9_judge2_score,week9_judge3_score,week9_judge4_score,week10_judge1_score,week10_judge2_score,week10_judge3_score,week10_judge4_score,week11_judge1_score,week11_judge2_score,week11_judge3_score,week11_judge4_score,is_withdrew,is_controversial,contestants,weeks,judges,voting_method,is_allstar,active_weeks,week1_total,week1_avg,week2_total,week2_avg,week3_total,week3_avg,week4_total,week4_avg,week5_total,week5_avg,week6_total,week6_avg,week7_total,week7_avg,week8_total,week8_avg,week9_total,week9_avg,week10_total,week10_avg,week11_total,week11_avg,overall_avg_score,elimination_week,is_finalist,final_rank,total_pageviews,avg_daily_pageviews,ind_Actor/Actress,ind_Athlete,ind_Comedian,ind_Con artist,ind_Conservationist,ind_Entrepreneur,ind_Fitness Instructor,ind_Journalist,ind_Military,ind_Model,ind_Musician,ind_News Anchor,ind_Politician,ind_Producer,ind_Racing Driver,ind_Radio Personality,ind_Singer/Rapper,ind_Social Media Personality,ind_Social media personality,ind_TV Personality,log_pageviews
Amber Rose,Maksim Chmerkoskiy,Model,Pennsylvania,United States,32,23,Eliminated Week 6,9,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0,6.0,6.0,6.0,8.0,8.0,8.0,,8.0,8.0,8.0,,7.0,7.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,False,False,13,11,4,percentage,False,6,24.0,6.0,24.0,6.0,25.0,6.25,24.0,8.0,24.0,8.0,28.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.7727272727272725,6.0,False,,1498395.0,20811.0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,14.219905760594305
Rick Perry,Emma Slater,Politician,Texas,United States,66,23,Eliminated Week 3,12,5.0,5.0,5.0,5.0,6.0,5.0,6.0,5.0,6.0,5.0,6.0,6.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,False,False,13,11,4,percentage,False,3,20.0,5.0,22.0,5.5,23.0,5.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.416666666666667,3.0,False,,207792.0,2886.0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,12.244297670843103
James Hinchcliffe,Sharna Burgess,Racing Driver,Non-US,Canada,29,23,2nd Place,2,8.0,8.0,7.0,8.0,7.0,7.0,7.0,8.0,7.0,7.0,8.0,7.0,9.0,9.0,10.0,,10.0,9.0,10.0,,10.0,9.0,9.0,10.0,9.5,9.0,9.0,9.5,11.6666,11.6666,11.6666,,9.0,9.0,9.0,9.0,9.5,10.0,10.0,,9.6666,9.6666,9.6666,10.0,False,False,13,11,4,percentage,False,11,31.0,7.75,29.0,7.25,29.0,7.25,28.0,9.333333333333334,29.0,9.666666666666666,38.0,9.5,37.0,9.25,34.9998,11.6666,36.0,9.0,29.5,9.833333333333334,38.9998,9.74995,9.01249,,True,2.0,348200.0,4836.1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,12.760535178224796
Babyface,Allison Holker,Singer/Rapper,Indiana,United States,57,23,Eliminated Week 4,11,7.0,6.0,6.0,7.0,8.0,7.0,7.0,8.0,7.0,6.0,6.0,6.0,6.0,6.0,6.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,False,False,13,11,4,percentage,False,4,26.0,6.5,30.0,7.5,25.0,6.25,18.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.6,4.0,False,,283091.0,3931.8,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,12.553527212134833
Vanilla Ice,Witney Carson,Singer/Rapper,Texas,United States,48,23,Eliminated Week 4,10,7.0,5.0,6.0,7.0,6.0,7.0,6.0,7.0,6.0,6.0,5.0,6.0,8.0,7.0,8.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,False,False,13,11,4,percentage,False,4,25.0,6.25,26.0,6.5,23.0,5.75,23.0,7.666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.466666666666667,4.0,False,,521443.0,7242.3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,13.16435716510671
Jana Kramer,Gleb Savchenko,Singer/Rapper,Michigan,United States,32,23,Eliminated Week 11,4,7.0,6.0,6.0,8.0,7.0,8.0,7.0,7.0,6.0,7.0,6.0,7.0,8.0,7.0,8.0,,9.0,8.0,9.0,,10.0,10.0,10.0,10.0,8.0,8.5,9.0,9.0,10.0,10.0,10.0,,10.0,10.0,10.0,10.0,9.5,9.5,10.0,,8.5,9.0,9.0,9.0,False,False,13,11,4,percentage,False,11,27.0,6.75,29.0,7.25,26.0,6.5,23.0,7.666666666666667,26.0,8.666666666666666,40.0,10.0,34.5,8.625,30.0,10.0,40.0,10.0,29.0,9.666666666666666,35.5,8.875,8.5,11.0,False,,989027.0,13736.5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,13.80447792162977
Terra Jole,Sasha Farber,TV Personality,Texas,United States,36,23,Eliminated Week 10,5,7.0,6.0,6.0,6.0,8.0,7.0,8.0,8.0,8.0,7.0,8.0,7.0,9.0,8.0,8.0,,9.0,9.0,9.0,,7.0,8.0,8.0,7.0,8.5,8.5,9.0,8.5,8.0,8.0,8.0,,10.0,10.0,9.0,9.0,10.0,10.0,10.0,,0.0,0.0,0.0,0.0,False,False,13,11,4,percentage,False,10,25.0,6.25,31.0,7.75,30.0,7.5,25.0,8.333333333333334,27.0,9.0,30.0,7.5,34.5,8.625,24.0,8.0,38.0,9.5,30.0,10.0,0.0,0.0,8.180555555555555,10.0,False,,59866.0,2494.4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,10.999880714095356
Charo,Keo Motsepe,Actor/Actress,Non-US,Spain,66,24,Eliminated Week 3,11,6.0,5.0,5.0,5.0,6.0,6.0,7.0,6.0,6.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,False,False,12,10,4,percentage,False,3,21.0,5.25,25.0,6.25,24.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,5.833333333333333,3.0,False,,1347276.0,20727.3,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,14.11359607641883
Mr. T,Kym Herjavec,Actor/Actress,Illinois,United States,64,24,Eliminated Week 4,10,5.0,5.0,5.0,5.0,6.0,5.0,6.0,5.0,6.0,6.0,6.0,6.0,7.0,7.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,False,False,12,10,4,percentage,False,4,20.0,5.0,22.0,5.5,24.0,6.0,28.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,5.875,4.0,False,,873437.0,13437.5,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,13.680192427216296
Heather Morris,Maksim Chmerkoskiy,Actor/Actress,California,United States,30,24,Eliminated Week 6,8,7.0,7.0,7.0,7.0,8.0,6.0,8.0,8.0,9.0,8.0,8.0,8.0,8.0,9.0,9.0,9.0,8.0,8.0,9.0,9.0,9.0,9.5,9.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,False,False,12,10,4,percentage,False,6,28.0,7.0,30.0,7.5,33.0,8.25,35.0,8.75,34.0,8.5,37.0,9.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,8.208333333333334,6.0,False,,348243.0,5357.6,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.760658662491478
Nancy Kerrigan,Artem Chigvintsev,Athlete,Massachusetts,United States,47,24,Eliminated Week 7,7,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,8.0,9.0,8.0,8.0,8.0,9.0,8.0,8.0,9.0,9.0,9.0,9.0,8.5,8.5,8.0,8.5,9.0,9.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,False,False,12,10,4,percentage,False,7,28.0,7.0,28.0,7.0,33.0,8.25,33.0,8.25,36.0,9.0,33.5,8.375,36.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,8.125,7.0,False,,808153.0,12433.1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,13.602507913401897
Bonner Bolton,Sharna Burgess,Athlete,Texas,United States,29,24,Eliminated Week 8,5,6.0,5.0,5.0,6.0,8.0,5.0,8.0,7.0,6.0,6.0,6.0,6.0,8.0,8.0,8.0,8.0,7.0,8.0,8.0,7.0,8.0,8.5,7.5,7.5,7.5,7.5,8.5,7.5,7.5,7.0,7.5,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,False,False,12,10,4,percentage,False,8,22.0,5.5,28.0,7.0,24.0,6.0,32.0,8.0,30.0,7.5,31.5,7.875,31.0,7.75,29.0,7.25,0.0,0.0,0.0,0.0,0.0,,7.109375,8.0,False,,317931.0,4967.7,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.669592802418046
Simone Biles,Sasha Farber,Athlete,Ohio,United States,20,24,Eliminated Week 9,4,8.0,8.0,8.0,8.0,7.0,7.0,7.0,8.0,7.0,8.0,9.0,8.0,9.0,9.0,9.0,9.0,9.0,9.0,10.0,10.0,8.5,8.5,8.5,9.0,10.5,9.5,9.5,9.5,9.0,9.0,9.0,9.0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,,,,,False,False,12,10,4,percentage,False,9,32.0,8.0,29.0,7.25,32.0,8.0,36.0,9.0,38.0,9.5,34.5,8.625,39.0,9.75,36.0,9.0,40.0,10.0,0.0,0.0,0.0,,8.791666666666666,9.0,False,,464656.0,7148.6,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,13.049054777974773
Rashad Jennings,Emma Slater,Athlete,Virginia,United States,32,24,1st Place,1,8.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,7.0,7.0,7.0,7.0,10.0,9.0,10.0,10.0,7.0,8.0,9.0,8.0,8.5,9.5,8.5,8.5,9.5,9.5,10.5,9.5,9.5,9.0,9.5,9.5,9.5,9.0,10.0,10.0,10.0,9.6666,10.0,10.0,,,,,False,False,12,10,4,percentage,False,10,31.0,7.75,32.0,8.0,28.0,7.0,39.0,9.75,32.0,8.0,35.0,8.75,39.0,9.75,37.5,9.375,38.5,9.625,39.6666,9.91665,0.0,,8.791665,,True,1.0,480836.0,7397.5,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,13.08328361431712
Chris Kattan,Witney Carson,Comedian,California,United States,46,24,Eliminated Week 2,12,5.0,4.0,4.0,4.0,6.0,5.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,False,False,12,10,4,percentage,False,2,17.0,4.25,22.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,4.875,2.0,False,,543480.0,8361.2,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,13.20575002633068
Erika Jayne,Gleb Savchenko,Singer/Rapper,Georgia,United States,45,24,Eliminated Week 5,9,6.0,6.0,6.0,6.0,7.0,7.0,7.0,7.0,6.0,7.0,7.0,6.0,8.0,7.0,7.0,8.0,8.0,8.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,False,False,12,10,4,percentage,False,5,24.0,6.0,28.0,7.0,26.0,6.5,30.0,7.5,32.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,7.0,5.0,False,,627789.0,9658.3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,13.349960994623434
Normani,Valentin Chmerkovskiy,Singer/Rapper,Georgia,United States,20,24,3rd Place,3,7.0,6.0,7.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,9.0,9.0,8.0,7.0,8.0,9.0,10.0,9.0,10.0,10.0,9.0,9.5,8.0,9.5,10.5,10.5,10.5,10.5,10.0,9.5,10.0,10.0,9.5,9.5,9.5,9.5,10.0,9.6666,9.6666,10.0,,,,,False,False,12,10,4,percentage,False,10,27.0,6.75,32.0,8.0,34.0,8.5,32.0,8.0,39.0,9.75,36.0,9.0,42.0,10.5,39.5,9.875,38.0,9.5,39.333200000000005,9.8333,0.0,,8.970830000000001,,True,3.0,470.0,7.8,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,6.154858094016418
Nick Viall,Peta Murgatroyd,TV Personality,Wisconsin,United States,36,24,Eliminated Week 7,6,6.0,6.0,6.0,6.0,7.0,5.0,7.0,6.0,7.0,6.0,7.0,6.0,8.0,7.0,8.0,7.0,9.0,8.0,9.0,8.0,7.5,8.0,7.5,7.5,8.0,8.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,False,False,12,10,4,percentage,False,7,24.0,6.0,25.0,6.25,26.0,6.5,30.0,7.5,34.0,8.5,30.5,7.625,34.0,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,7.267857142857143,7.0,False,,75958.0,1205.7,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,11.237949000015973
Sasha Pieterse,Gleb Savchenko,Actor/Actress,Non-US,South Africa,21,25,Eliminated Week 5,10,6.0,6.0,6.0,,8.0,7.5,7.0,,7.0,6.0,6.0,,8.0,8.0,8.0,,8.0,8.0,8.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,False,False,13,10,4,percentage,False,5,18.0,6.0,22.5,7.5,19.0,6.333333333333333,24.0,8.0,24.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,7.166666666666667,5.0,False,,332384.0,5113.6,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.714049214591416
Frankie Muniz,Witney Carson,Actor/Actress,New Jersey,United States,31,25,3rd Place,3,7.0,6.0,6.0,,8.0,7.5,8.5,,7.0,7.0,7.0,,8.0,8.0,8.0,,10.0,9.0,10.0,,7.0,8.0,8.0,8.0,10.0,10.0,10.0,,9.0,8.5,9.0,,8.5,8.0,9.0,,9.7777,9.3333,9.7777,10.0,,,,,False,False,13,10,4,percentage,False,10,19.0,6.333333333333333,24.0,8.0,21.0,7.0,24.0,8.0,29.0,9.666666666666666,31.0,7.75,30.0,10.0,26.5,8.833333333333334,25.5,8.5,38.8887,9.722175,0.0,,8.402771875,,True,3.0,1147167.0,17648.7,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,13.952806854435659
Jordan Fisher,Lindsay Arnold,Actor/Actress,Alabama,United States,23,25,1st Place,1,8.0,7.0,7.0,,8.0,8.0,8.0,,9.0,7.0,9.0,,10.0,9.0,10.0,,10.0,10.0,10.0,,10.0,9.0,10.0,10.0,9.0,9.0,9.0,,10.0,10.0,10.0,,9.5,9.5,10.0,,10.0,10.0,10.0,10.0,,,,,False,False,13,10,4,percentage,False,10,22.0,7.333333333333333,24.0,8.0,25.0,8.333333333333334,29.0,9.666666666666666,30.0,10.0,39.0,9.75,27.0,9.0,30.0,10.0,29.0,9.666666666666666,40.0,10.0,0.0,,9.21875,,True,1.0,736593.0,11332.2,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,13.509792137426395
Derek Fisher,Sharna Burgess,Athlete,Arkansas,United States,43,25,Eliminated Week 4,11,6.0,6.0,6.0,,6.5,6.0,6.5,,7.0,7.0,7.0,,7.0,8.0,8.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,False,False,13,10,4,percentage,False,4,18.0,6.0,19.0,6.333333333333333,21.0,7.0,23.0,7.666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,6.75,4.0,False,,209641.0,3225.2,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.253156593034687
Nikki Bella,Artem Chigvintsev,Athlete,California,United States,33,25,Eliminated Week 7,8,7.0,7.0,6.0,,6.5,6.5,6.5,,7.0,7.0,7.0,,8.0,8.0,8.0,,9.0,9.0,9.0,,9.0,9.0,9.0,9.0,8.0,8.0,8.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,False,False,13,10,4,percentage,False,7,20.0,6.666666666666667,19.5,6.5,21.0,7.0,24.0,8.0,27.0,9.0,36.0,9.0,24.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,7.795454545454546,7.0,False,,559669.0,8610.3,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,13.235102603299978
Terrell Owens,Cheryl Burke,Athlete,Alabama,United States,43,25,Eliminated Week 8,6,5.0,5.0,5.0,,6.5,6.0,7.0,,7.0,7.0,7.0,,8.0,8.0,8.0,,9.0,8.0,8.0,,9.0,9.0,10.0,9.0,8.0,8.0,8.5,,8.5,8.5,8.5,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,False,False,13,10,4,percentage,False,8,15.0,5.0,19.5,6.5,21.0,7.0,24.0,8.0,25.0,8.333333333333334,37.0,9.25,24.5,8.166666666666666,25.5,8.5,0.0,0.0,0.0,0.0,0.0,,7.66,8.0,False,,385013.0,5923.3,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.861034976245143
Victoria Arlen,Valentin Chmerkovskiy,Athlete,New Hamshire,United States,22,25,Eliminated Week 9,5,7.0,6.0,6.0,,7.5,7.0,7.5,,8.0,7.0,7.0,,9.0,9.0,9.0,,9.0,9.0,9.0,,8.0,8.0,7.0,8.0,9.5,9.5,9.5,,8.0,8.0,8.0,,9.0,9.5,9.5,,0.0,0.0,0.0,0.0,,,,,False,False,13,10,4,percentage,False,9,19.0,6.333333333333333,22.0,7.333333333333333,22.0,7.333333333333333,27.0,9.0,27.0,9.0,31.0,7.75,28.5,9.5,24.0,8.0,28.0,9.333333333333334,0.0,0.0,0.0,,8.160714285714286,9.0,False,,572439.0,8806.8,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,13.257663205424812
Barbara Corcoran,Keo Motsepe,Entrepreneur,New Jersey,United States,68,25,Eliminated Week 2,13,5.0,4.0,5.0,,6.0,5.0,6.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,False,False,13,10,4,percentage,False,2,14.0,4.666666666666667,17.0,5.666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,5.166666666666667,2.0,False,,453487.0,6976.7,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,13.024724087327256
Lindsey Stirling,Mark Ballas,Musician,California,United States,31,25,2nd Place,2,7.0,8.0,7.0,,7.5,7.5,7.5,,9.0,9.0,9.0,,9.0,8.0,9.0,,9.0,10.0,9.0,,10.0,10.0,10.0,10.0,8.5,8.5,8.5,,9.5,8.5,9.0,,9.5,9.0,10.0,,10.0,10.0,10.0,10.0,,,,,False,False,13,10,4,percentage,False,10,22.0,7.333333333333333,22.5,7.5,27.0,9.0,26.0,8.666666666666666,28.0,9.333333333333334,40.0,10.0,25.5,8.5,27.0,9.0,28.5,9.5,40.0,10.0,0.0,,8.953125,,True,2.0,600310.0,9235.5,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,13.305203133243296
Debbie Gibson,Alan Bersten,Singer/Rapper,New York,United States,47,25,Eliminated Week 2,12,6.0,5.0,6.0,,7.0,6.5,7.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,False,False,13,10,4,percentage,False,2,17.0,5.666666666666667,20.5,6.833333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,6.25,2.0,False,,426170.0,6556.5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,12.962595953159392
Nick Lachey,Peta Murgatroyd,Singer/Rapper,Kentucky,United States,43,25,Eliminated Week 6,9,6.0,6.0,6.0,,7.0,6.0,6.0,,7.0,7.0,7.0,,8.0,7.0,7.0,,7.0,8.0,7.0,,7.0,6.0,7.0,6.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,False,False,13,10,4,percentage,False,6,18.0,6.0,19.0,6.333333333333333,21.0,7.0,22.0,7.333333333333333,22.0,7.333333333333333,26.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,6.7368421052631575,6.0,False,,384028.0,5908.1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,12.858473349551643
Drew Scott,Emma Slater,TV Personality,Non-US,Canada,39,25,Eliminated Week 10,4,6.0,5.0,5.0,,7.0,6.5,7.0,,8.0,7.0,8.0,,8.0,8.0,8.0,,9.0,8.0,8.0,,7.0,7.0,9.0,7.0,9.5,9.5,9.5,,8.0,7.5,8.0,,8.0,8.0,8.0,,9.0,9.5,9.5,9.5,,,,,False,False,13,10,4,percentage,False,10,16.0,5.333333333333333,20.5,6.833333333333333,23.0,7.666666666666667,24.0,8.0,25.0,8.333333333333334,30.0,7.5,28.5,9.5,23.5,7.833333333333333,24.0,8.0,37.5,9.375,0.0,,7.875,10.0,False,,248280.0,3819.7,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,12.422316448230127
Vanessa Lachey,Maksim Chmerkoskiy,TV Personality,Non-US,Philippines,36,25,Eliminated Week 7,7,7.0,7.0,7.0,,8.0,8.0,7.5,,7.0,8.0,8.0,,8.0,8.0,8.0,,8.0,8.0,8.0,,9.0,9.0,9.0,9.0,9.0,9.0,9.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,False,False,13,10,4,percentage,False,7,21.0,7.0,23.5,7.833333333333333,23.0,7.666666666666667,24.0,8.0,24.0,8.0,36.0,9.0,27.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,8.113636363636363,7.0,False,,465214.0,7157.1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,13.050254943302859
Jamie Anderson,Artem Chigvintsev,Athlete,California,United States,27,26,Eliminated Week 1,10,6.0,7.0,6.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,10,4,4,percentage,False,1,19.0,6.333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,6.333333333333333,1.0,False,,34902.0,698.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,10.460328064381565
Johnny Damon,Emma Slater,Athlete,Kansas,United States,44,26,Eliminated Week 1,9,6.0,6.0,6.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,10,4,4,percentage,False,1,18.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,6.0,1.0,False,,131274.0,2625.5,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11.78504963850606
Kareem Abdul-Jabbar,Lindsay Arnold,Athlete,New York,United States,71,26,Eliminated Week 2,8,6.0,5.0,6.0,,7.5,8.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,10,4,4,percentage,False,2,17.0,5.666666666666667,29.5,7.375,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,6.642857142857143,2.0,False,,929171.0,18583.4,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,13.742049145976242
Arike Ogunbowale,Gleb Savchenko,Athlete,Wisconsin,United States,21,26,Eliminated Week 2,7,7.0,6.0,7.0,,8.5,9.5,8.5,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,10,4,4,percentage,False,2,20.0,6.666666666666667,35.0,8.75,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,7.857142857142857,2.0,False,,25469.0,670.2,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,10.145256567973503
